garbage_id,user_id,created_at,updated_at,deleted_at,latitude,longitude,is_discarded,type
1,1,2024-11-11,,,35.713772,139.761117,0,plastic
2,1,2024-11-12,,,35.714664,139.759562,0,bottle
3,1,2024-11-06,,,35.712676,139.761236,0,paper
4,1,2024-11-02,,,35.712628,139.764035,1,bottle
5,1,2024-11-01,,,35.714143,139.764547,0,bottle
6,1,2024-11-10,,,35.710316,139.76211,0,plastic
7,1,2024-11-13,,,35.70929,139.764505,1,paper
8,1,2024-11-13,,,35.702909,139.766132,0,can
9,1,2024-11-03,,,35.704886,139.767368,0,can
10,1,2024-11-08,,,35.711489,139.758166,0,bottle
11,1,2024-11-03,,,35.712527,139.755475,1,plastic
12,1,2024-11-10,,,35.69256,139.702368,0,can
13,1,2024-11-12,,,35.694319,139.702147,0,paper
14,1,2024-11-01,,,35.695565,139.70262,1,bottle
15,1,2024-11-08,,,35.694594,139.702993,1,paper
16,1,2024-11-13,,,35.694209,139.703929,1,paper
17,1,2024-11-12,,,35.69398,139.703072,0,plastic
18,1,2024-11-14,,,35.694209,139.701165,1,bottle
19,1,2024-11-08,,,35.694523,139.703251,0,can
20,1,2024-11-10,,,35.696424,139.701797,1,bottle
21,1,2024-10-31,,,35.694134,139.701672,0,can
22,1,2024-10-31,,,35.69481,139.702205,1,paper
23,1,2024-11-13,,,35.694621,139.701873,0,plastic
24,1,2024-11-11,,,35.695249,139.703169,1,bottle
25,1,2024-11-01,,,35.694566,139.703182,1,paper
26,1,2024-10-31,,,35.695586,139.702694,1,can
27,1,2024-10-31,,,35.695789,139.702776,0,bottle
28,1,2024-11-11,,,35.694027,139.701632,0,paper
29,1,2024-10-31,,,35.692511,139.703549,0,bottle
30,1,2024-11-12,,,35.691162,139.703439,0,paper
31,1,2024-11-03,,,35.690248,139.706854,1,can
32,1,2024-11-14,,,35.688177,139.702564,0,can
33,1,2024-11-01,,,35.688999,139.705931,0,bottle
34,1,2024-11-04,,,35.693913,139.705095,1,plastic
35,1,2024-11-06,,,35.713083,139.69519,1,plastic
