garbage_can_id,created_at,updated_at,deleted_at,latitude,longitude,note,burnable,non_burnable,bottles_cans,ashtray
1,2024-11-01,,,35.67430556,139.7155556,燃えるゴミ,1,0,0,0
2,2024-11-11,,,35.6805,139.7195833,ペットボトル・カン・ビン,0,0,1,0
3,2024-10-31,,,35.68094444,139.7199444,ペットボトル・カン・ビン,0,0,1,0
4,2024-11-04,,,35.68230556,139.71975,ペットボトル・カン・ビン,0,0,1,0
5,2024-11-11,,,35.68261111,139.7201111,ペットボトル・カン,0,0,1,0
6,2024-11-05,,,35.68677778,139.6898889,ペットボトル・カン,0,0,1,0
7,2024-11-02,,,35.68738889,139.6899167,燃えるゴミ・燃えないゴミ,1,1,0,0
8,2024-11-04,,,35.68808333,139.6958611,ペットボトル・カン,0,0,1,0
9,2024-11-06,,,35.68808333,139.6958611,ペットボトル・カン,0,0,1,0
10,2024-10-31,,,35.68838889,139.6968611,ペットボトル・カン・ビン・紙類,0,0,1,0
11,2024-11-13,,,35.68897222,139.6981944,ペットボトル・カン,0,0,1,0
12,2024-11-01,,,35.68911111,139.6895,燃えるゴミ・燃えないゴミ,1,1,0,0
13,2024-11-06,,,35.68922222,139.6970833,ペットボトル・カン,0,0,1,0
14,2024-11-12,,,35.68925,139.6894722,ペットボトル・カン,0,0,1,0
15,2024-11-03,,,35.68936111,139.6981667,ペットボトル・カン,0,0,1,0
16,2024-11-02,,,35.68952778,139.6894167,燃えるゴミ・燃えないゴミ,1,1,0,0
17,2024-11-02,,,35.68963889,139.7021944,ペットボトル・カン,0,0,1,0
18,2024-11-03,,,35.68969444,139.6901389,燃えるゴミ・燃えないゴミ,1,1,0,0
19,2024-11-13,,,35.68975,139.7015833,ペットボトル・カン,0,0,1,0
20,2024-11-05,,,35.68977778,139.7020833,ペットボトル・カン,0,0,1,0
21,2024-11-13,,,35.68980556,139.7026111,ペットボトル・カン,0,0,1,0
22,2024-11-14,,,35.68980556,139.7026111,ペットボトル・カン,0,0,1,0
23,2024-11-14,,,35.68991667,139.6901389,ペットボトル・カン,0,0,1,0
24,2024-11-08,,,35.69,139.6902778,灰皿,0,0,0,1
25,2024-11-04,,,35.69,139.70775,ペットボトル・カン,0,0,1,0
26,2024-11-01,,,35.69011111,139.7022222,ペットボトル・カン,0,0,1,0
27,2024-11-11,,,35.69011111,139.7022222,ペットボトル・カン,0,0,1,0
28,2024-11-14,,,35.69011111,139.6968889,ペットボトル・カン,0,0,1,0
29,2024-11-03,,,35.69013889,139.7031389,ペットボトル・カン,0,0,1,0
30,2024-11-04,,,35.69016667,139.7081111,ペットボトル・カン・灰皿,0,0,1,1
31,2024-11-07,,,35.69025,139.703,ペットボトル・カン,0,0,1,0
32,2024-11-10,,,35.69027778,139.7025,ペットボトル・カン,0,0,1,0
33,2024-11-14,,,35.69036111,139.7074722,ペットボトル・カン,0,0,1,0
34,2024-11-05,,,35.69038889,139.7038889,ペットボトル・カン,0,0,1,0
35,2024-11-09,,,35.69038889,139.70475,ペットボトル・カン,0,0,1,0
36,2024-11-05,,,35.69041667,139.7081111,ペットボトル・カン,0,0,1,0
37,2024-11-06,,,35.6905,139.7014722,ペットボトル・カン,0,0,1,0
38,2024-11-12,,,35.6905,139.7032222,ペットボトル・カン,0,0,1,0
39,2024-11-10,,,35.6905,139.7062778,ペットボトル・カン,0,0,1,0
40,2024-11-04,,,35.69055556,139.7029444,ペットボトル・カン,0,0,1,0
41,2024-11-01,,,35.69055556,139.7029444,ペットボトル・カン,0,0,1,0
42,2024-11-07,,,35.69063889,139.6896111,燃えるゴミ・燃えないゴミ,1,1,0,0
43,2024-11-13,,,35.69066667,139.7018889,ペットボトル・カン,0,0,1,0
44,2024-11-02,,,35.69083333,139.7038056,ペットボトル・カン,0,0,1,0
45,2024-11-12,,,35.69097222,139.7024167,ペットボトル・カン,0,0,1,0
46,2024-11-01,,,35.69102778,139.6881111,ペットボトル・カン,0,0,1,0
47,2024-11-01,,,35.69111111,139.7053333,ペットボトル・カン,0,0,1,0
48,2024-11-10,,,35.69116667,139.7025833,ペットボトル・カン,0,0,1,0
49,2024-11-11,,,35.69116667,139.7031389,ペットボトル・カン,0,0,1,0
50,2024-11-03,,,35.69116667,139.7025833,ペットボトル・カン,0,0,1,0
51,2024-11-08,,,35.69116667,139.7031389,ペットボトル・カン,0,0,1,0
52,2024-11-06,,,35.69125,139.7020556,ペットボトル・カン,0,0,1,0
53,2024-11-14,,,35.69125,139.7020556,ペットボトル・カン・ビン,0,0,1,0
54,2024-11-02,,,35.69130556,139.7088333,ペットボトル・カン・ビン,0,0,1,0
55,2024-11-03,,,35.69138889,139.6990556,灰皿,0,0,0,1
